,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Licence Details - as at 30 June 2025,,,,,,,,,,,,,,,,,,,Business Types,Authorisations & Restrictions,,,,,Trading Hours,,,,Gaming,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 93,425 ", 520 ," 92,905 ", 536 ," 2,300 "," 95,741 ", 99 ," 95,840 "," 87,930 "
Licence number,Licence type,Start date,Status,Status date,Trading Status,Licence name,Address,Suburb,Postcode,Latitude,Longitude,LGA,Precinct,Region,Licensee,Licensee Type,Licensee ABN,Licensee ACN,Business type,Authorisation restriction name,Extended trading,Reduced trading,Primary service,Right to keep gaming,Unrestricted,To 12am,To 3am,To 5am,SA2,Band,GMEs,GME Leased Out,Net GMEs,GME Leased In,PMPs,Auth Limit,Unfulfilled Quota,GMT,EGMs
LIQO660038438,Liquor - on-premises licence,30/06/2025,Current,30/06/2025,Trading,Braai and Barrel,"SHOP 1, 623 PORT HACKING RD, ",PORT HACKING,2229,-34.0639437,151.1203632,Sutherland,,Metropolitan,Patricia Williams,PERSON,,,Restaurant,Reduced trading hours,No,Yes,No,No,No,No,No,No,Lilli Pilli - Port Hacking - Dolans Bay,,0,0,0,0,0,0,0,0,0
LIQO660037196,Liquor - on-premises licence,28/04/2023,Current,28/04/2023,Trading,Pattysmiths Darlinghurst,SHOP 1 314-318 VICTORIA ST ,DARLINGHURST,2010,-33.8769196,151.2219724,Sydney,Sydney CBD Precinct,Metropolitan,Oliver Forrester,PERSON,,,Restaurant,Reduced trading hours,No,No,No,No,No,No,No,No,Darlinghurst,,0,0,0,0,0,0,0,0,0
LIQO660037985,Liquor - on-premises licence,4/09/2024,Current,4/09/2024,Trading,COMPASS GROUP REMOTE HOSPITALITY SERVICES PTY LTD,Cobb Highway ,BOOROORBAN,2710,-34.8542942,144.766375,Edward River,,Country,COMPASS GROUP REMOTE HOSPITALITY SERVICES PTY LTD,Organisation,98113561363,113561363,Social activity and support,Reduced trading hours,No,No,No,No,No,No,No,No,Deniliquin Surrounds,,0,0,0,0,0,0,0,0,0
LIQO660038439,Liquor - on-premises licence,30/06/2025,Current,30/06/2025,Trading,gallivant Group,37 PATRICK ST ,AVALON BEACH,2107,-33.6255374,151.327703,Northern Beaches,,Metropolitan,Gigis Sydney Pty Ltd,Organisation,,ACN669954,Catering service,"Reduced trading hours,Sale on other premises authorisation",No,Yes,No,No,No,No,No,No,Avalon - Palm Beach,,0,0,0,0,0,0,0,0,0
LIQO660038440,Liquor - on-premises licence,30/06/2025,Current,30/06/2025,Trading,LIFE OF CHI,Shop E 653-659 George St ,HAYMARKET,2000,-33.8791086,151.2051584,Sydney,,Metropolitan,LIFE OF CHI PTY LTD,Organisation,13676639928,676639928,Restaurant,Reduced trading hours,No,Yes,No,No,No,No,No,No,Sydney (South) - Haymarket,,0,0,0,0,0,0,0,0,0
LIQO660038441,Liquor - on-premises licence,30/06/2025,Current,30/06/2025,Trading,Kazzi Beach Greek Bondi,"Shop 1 & 2, 14-16 O'Brien Street ",BONDI,2026,-33.889346,151.270306,Waverley,,Metropolitan,KAZZI BEACH GREEK BONDI PTY LTD,Organisation,77681551575,681551575,Restaurant,"Reduced trading hours,Take away sales authorisation",No,Yes,No,No,No,No,No,No,Bondi Beach - North Bondi,,0,0,0,0,0,0,0,0,0
